titulo,descricao,tipo,finalidade,preco,condominio,iptu,cidade,estado,bairro,dormitorios,banheiros,suites,vagas,area_total,area_util,ano_construcao,external_id,source,updated_at_source,imagens_urls
Apto 2 dorm SP,Andar alto,apartment,rent,3000,550,120,São Paulo,SP,Centro,2,1,0,1,65,60,2012,EXT-001,planilha,2025-09-14T12:00:00Z,https://cdn/1.jpg;https://cdn/1b.jpg
Apto 3 dorm SP,Sol da manhã,apartment,sale,620000,650,180,São Paulo,SP,Moema,3,2,1,2,95,88,2015,EXT-002,planilha,2025-09-14T12:01:00Z,https://cdn/2.jpg
Casa térrea Campinas,Quintal amplo,house,sale,480000,,150,Campinas,SP,Cambuí,3,2,1,2,180,150,2010,EXT-003,planilha,2025-09-14T12:02:00Z,https://cdn/3.jpg;https://cdn/3b.jpg
Apto 1 dorm RJ,Perto do metrô,apartment,rent,2200,450,90,Rio de Janeiro,RJ,Botafogo,1,1,0,1,45,40,2008,EXT-004,planilha,2025-09-14T12:03:00Z,https://cdn/4.jpg
Cobertura RJ,Vista para o mar,apartment,sale,1250000,1200,350,Rio de Janeiro,RJ,Leme,3,3,2,2,220,200,2017,EXT-005,planilha,2025-09-14T12:04:00Z,https://cdn/5.jpg;https://cdn/5b.jpg
Casa sobrado Curitiba,Rua tranquila,house,sale,650000,,220,Curitiba,PR,Água Verde,3,3,1,2,200,185,2013,EXT-006,planilha,2025-09-14T12:05:00Z,https://cdn/6.jpg
Kitnet Curitiba,Compacta,apartment,rent,1600,300,80,Curitiba,PR,Centro,0,1,0,0,32,28,2005,EXT-007,planilha,2025-09-14T12:06:00Z,https://cdn/7.jpg
Apto 2 dorm Campinas,Reformado,apartment,rent,2700,520,110,Campinas,SP,Taquaral,2,2,0,1,70,65,2011,EXT-008,planilha,2025-09-14T12:07:00Z,https://cdn/8.jpg
Casa condomínio SP,Lazer completo,house,sale,980000,900,400,São Paulo,SP,Granja Viana,4,4,2,3,320,280,2019,EXT-009,planilha,2025-09-14T12:08:00Z,https://cdn/9.jpg;https://cdn/9b.jpg
Apto 1 dorm SP,Próx Av. Paulista,apartment,rent,2500,500,100,São Paulo,SP,Bela Vista,1,1,0,1,40,37,2016,EXT-010,planilha,2025-09-14T12:09:00Z,https://cdn/10.jpg
Studio RJ,Ideal executivos,apartment,rent,2800,550,120,Rio de Janeiro,RJ,Centro,0,1,0,0,38,34,2018,EXT-011,planilha,2025-09-14T12:10:00Z,https://cdn/11.jpg
Casa 2 dorm RJ,Arejada,house,rent,3200,,180,Rio de Janeiro,RJ,Recreio,2,2,0,2,160,140,2012,EXT-012,planilha,2025-09-14T12:11:00Z,https://cdn/12.jpg
Apto garden SP,Pet friendly,apartment,sale,780000,700,210,São Paulo,SP,Pinheiros,2,2,1,1,110,95,2014,EXT-013,planilha,2025-09-14T12:12:00Z,https://cdn/13.jpg;https://cdn/13b.jpg
Casa 3 suítes Campinas,Esquina,house,sale,890000,,260,Campinas,SP,Barão Geraldo,4,5,3,3,280,250,2020,EXT-014,planilha,2025-09-14T12:13:00Z,https://cdn/14.jpg
Apto 2 dorm Curitiba,Mobiliado,apartment,rent,2400,480,90,Curitiba,PR,Batel,2,1,0,1,60,55,2011,EXT-015,planilha,2025-09-14T12:14:00Z,https://cdn/15.jpg